location,x_coord,y_coord,z_coord,orientation
PAL0152240501,69700,29600,3000,2
PAL0152240502,69700,30500,3000,2
PAL0152240503,69700,31400,3000,2
PAL0152240701,69700,29600,4500,2
PAL0152240702,69700,30500,4500,2
PAL0152240703,69700,31400,4500,2
PAL0152240901,69700,29600,6000,2
PAL0152240902,69700,30500,6000,2
PAL0152240903,69700,31400,6000,2
PAL0152241101,69700,29600,7500,2
PAL0152241102,69700,30500,7500,2
PAL0152241103,69700,31400,7500,2
PAL0152241301,69700,29600,9000,2
PAL0152241302,69700,30500,9000,2
PAL0152241303,69700,31400,9000,2
PAL0152241501,69700,29600,10500,2
PAL0152241502,69700,30500,10500,2
PAL0152241503,69700,31400,10500,2
PAL0152250501,65000,32300,3000,4
PAL0152250502,65000,33200,3000,4
PAL0152250503,65000,34100,3000,4
PAL0152250701,65000,32300,4500,4
PAL0152250702,65000,33200,4500,4
PAL0152250703,65000,34100,4500,4
PAL0152250901,65000,32300,6000,4
PAL0152250902,65000,33200,6000,4
PAL0152250903,65000,34100,6000,4
PAL0152251101,65000,32300,7500,4
PAL0152251102,65000,33200,7500,4
PAL0152251103,65000,34100,7500,4
PAL0152251301,65000,32300,9000,4
PAL0152251302,65000,33200,9000,4
PAL0152251303,65000,34100,9000,4
PAL0152260101,69700,32300,0,2
PAL0152260102,69700,33200,0,2
PAL0152260103,69700,34100,0,2
PAL0152260301,69700,32300,1500,2
PAL0152260302,69700,33200,1500,2
PAL0152260303,69700,34100,1500,2
PAL0152260501,69700,32300,3000,2
PAL0152260502,69700,33200,3000,2
PAL0152260503,69700,34100,3000,2
PAL0152260701,69700,32300,4500,2
PAL0152260702,69700,33200,4500,2
PAL0152260703,69700,34100,4500,2
PAL0152260901,69700,32300,6000,2
PAL0152260902,69700,33200,6000,2
PAL0152260903,69700,34100,6000,2
PAL0152261101,69700,32300,7500,2
PAL0152261102,69700,33200,7500,2
PAL0152261103,69700,34100,7500,2
PAL0152261301,69700,32300,9000,2
PAL0152261302,69700,33200,9000,2
PAL0152261303,69700,34100,9000,2
PAL0152261501,69700,32300,10500,2
PAL0152261502,69700,33200,10500,2
PAL0152261503,69700,34100,10500,2
PAL0152270501,65000,35000,3000,4
PAL0152270502,65000,35900,3000,4
PAL0152270503,65000,36800,3000,4
PAL0152270701,65000,35000,4500,4
PAL0152270702,65000,35900,4500,4
PAL0152270703,65000,36800,4500,4
PAL0152270901,65000,35000,6000,4
PAL0152270902,65000,35900,6000,4
PAL0152270903,65000,36800,6000,4
PAL0152271101,65000,35000,7500,4
PAL0152271102,65000,35900,7500,4
PAL0152271103,65000,36800,7500,4
PAL0152271301,65000,35000,9000,4
PAL0152271302,65000,35900,9000,4
PAL0152271303,65000,36800,9000,4
PAL0152280901,69700,35000,6000,2
PAL0152280902,69700,35900,6000,2
PAL0152280903,69700,36800,6000,2
PAL0152281101,69700,35000,7500,2
PAL0152281102,69700,35900,7500,2
PAL0152281103,69700,36800,7500,2
PAL0152281301,69700,35000,9000,2
PAL0152281302,69700,35900,9000,2
PAL0152281303,69700,36800,9000,2
PAL0152281501,69700,35000,10500,2
PAL0152281502,69700,35900,10500,2
PAL0152281503,69700,36800,10500,2
PAL0152290501,65000,0,3000,4
PAL0152290502,65000,0,3000,4
PAL0152290503,65000,0,3000,4
PAL0152290701,65000,0,4500,4
PAL0152290702,65000,0,4500,4
PAL0152290703,65000,0,4500,4
PAL0152290901,65000,0,6000,4
PAL0152290902,65000,0,6000,4
PAL0152290903,65000,0,6000,4
PAL0152291101,65000,0,7500,4
PAL0152291102,65000,0,7500,4
